Artist,Title,Medium,Medium_classified,Acquisition_classified,Year_acquisition,Gender_classified,Artist_birth_year,Artist_death_year,Country_calculated,Date_creation_year
Jari Silomäki,"Nimetön 7, Avaamattomat kirjeeni (Lauri S)",,,,2006,,1975,,,2006
Tuomas A. Laitinen,Kaanon,,,,2008,,1976,,,2004
Einari Hyvönen,,,,,2021,,1989,,,2020
Jaana Kautto,"Joose, sarjasta Ammutaan (lehmät)",,,,1994,,1963,,,1992
Ritva Tuomi,Vihtijärvi III,,,,1994,,1963,,,1991
Nina Roos,Eläintarhassa I,,painting,,2007,,1956,,,2006
Anna Tuori,,,painting,,2008,,1976,,,2000
Lawrence Weiner,Kyntäjän lounas,,video art,,,,1940,,,1982
Kalervo Palsa,nimetön,,graphics,,1999,,1947,1987,,1967
Olli Marttila,1.6.2003,,graphics,,2018,,1948,,,2003
Michael Smith,Salainen kauhu,,video art,,1983,,1951,,,1980
Rita Jokiranta,,,,,2006,,1953,,,2006
Finn Sködt,Luonnos Alkupiste-hahmomallia varten,,graphics,,1991,,1944,,,1989
Päivi Eskelinen,Elämän kulku,,,,1994,,1960,,,1993
Simryn Gill,Metsä,,photography,,1998,,1959,,,1996
Robin Lindqvist,Pöydän alla,,painting,,2018,,1979,,,2011
Kari Soinio,Luontoäidin poika 3,,,,1994,,1962,,,1990
Veli Granö,Kirsti,,graphics,,2006,,1960,,,2002
Milja Viita,"Kadonneet kirjeet, 1939-45",,video art,,2009,,1974,,,2008
Silja Rantanen,Pysäytyskuva,,painting,,2020,,1955,,,1995
Markus Konttinen,"Elävä puu, oikukkaat oksat",,painting,,2007,,1957,,,2005
Kari Soinio,Luontoäidin poika 6,,,,1994,,1962,,,1990
Dara Birnbaum,Kootut teokset,,video art,,,,1946,,,1982
Keith Sonnier,Nimetön,,graphics,,1991,,1941,,,1981
Mads Gamdrup,Yö,,,,1999,,1967,,,1998
Robin Lindqvist,,,painting,,2018,,1979,,,2013
Heikki Arppo,Unohdettu X,,graphics,,2003,,1949,,,1987
Kalervo Palsa,nimetön,,graphics,,1999,,1947,1987,,1974
Iisa Maaranen,Mutta vesi nousee,,,,2017,,1987,,,2017
Ari Kakkinen,Totuudesta ja vastaavuudesta # 1,,,,2006,,1966,,,2003
Maiju Salmenkivi,BB,,painting,,2008,,1972,,,2001
Iisa Maaranen,Tällä kertaa valinta ei kohdistunut sinuun,,,,2017,,1987,,,2017
Lea Kantonen,Lempipaikka,,,,2006,,1956,,,1999
Zhao Shaoruo,sarjasta Kiinassa on eräs ZHAO SHAORUO,,object,,1998,,1962,,,1994
Axel Antas,Low lying cloud formation captured,,graphics,,2006,,1976,,,2005
Dara Birnbaum,Kootut teokset,,video art,,,,1946,,,1980
Dara Birnbaum,Kootut teokset,,video art,,,,1946,,,1980
Leonor Ruiz Dubrovin,,,painting,,2008,,1978,,,2007
Kalervo Palsa,Omakuva,,graphics,,1999,,1947,1987,,
Iisa Maaranen,Pölyä lattiallani II,,painting,,2018,,1987,,,2015
Lawrence Weiner,,,video art,,,,1940,,,1982
Oliver Whitehead,Sotilaallinen interventio,,graphics,,1994,,1947,,,1993
Petri Hytönen,Kuritus,,graphics,,1994,,1963,,,1993
Kalervo Palsa,nimetön,,graphics,,1999,,1947,1987,,1972
Kalervo Palsa,Henkinen kaamos,,graphics,,1999,,1947,1987,,
Peter Sedgley,Nimetön,,graphics,,1991,,1930,,,1986
Tiina Vainio,"Sarjasta ""Toscanan rikkaruohot""",,graphics,,2007,,1960,,,2007
Rob Scholte,Olympia / Utopia,,graphics,,1991,,1958,,,1985
Ninna Korhonen-Schwegler,,,,,2008,,,,,2002
Petri Hytönen,Syntymäpäivä,,graphics,,1994,,1963,,,1994
Jaana Kautto,"Otava, sarjasta Ammutaan (lehmät)",,,,1994,,1963,,,1992
Kalervo Palsa,nimetön,,graphics,,1999,,1947,1987,,1978
Ari Kakkinen,Totuudesta ja vastaavuudesta # 2,,,,2006,,1966,,,2003
Olli Lyytikäinen,Nimetön,,,,2013,,1949,1987,,1968
Hannaleena Heiska,Teos sarjasta Muscle & Fitness,,painting,,2008,,1973,,,2005
Tarja Teräsvuori,Sukkahousut haarakiilalla narulla,,,,2007,,1947,,,1980
Susanne Gottberg,Horisontti,,painting,,1994,,1964,,,1993
Pablo España,Luovaa turvallisuutta,,painting,,2006,,1970,,,2003
Lauri Astala,Songlines: sävellys karttapallolle ja soittorasialle,,graphics,,1994,,1958,,,1993
Olli Marttila,Kasvoja,,graphics,,2018,,1948,,,2008
Olli Marttila,Kun olin kuvitellut olleeni olemassa: Kasvot,,graphics,,2006,,1948,,,2003
Kalervo Palsa,nimetön (omakuva) ; luonnos,,graphics,,1999,,1947,1987,,
Mari Rantanen,Under the Given Circumstances,,painting,,1994,,1956,,,1989
Olli Marttila,Kasvoja,,graphics,,2018,,1948,,,2008
William Wegman,"Selected Works, Reel 5",,video art,,1991,,1943,,,1972
Ann Sundholm,Ullin potkukelkka,,,,1991,,1961,,,1991
Peter Sedgley,Nimetön,,graphics,,1991,,1930,,,1986
Kim Simonsson,Terminaattoripeura,,object,,2006,,1974,,,2006
Päivikki Kallio,Sarjasta sisäkuvia,,video art,,2010,,1952,,,
Tiina Vainio,"Sarjasta ""Toscanan rikkaruohot""",,graphics,,2007,,1960,,,2007
Roi Vaara,Tällainen kansa,,video art,,1994,,1953,,,1983
Stig Baumgartner,Aukkonen,,video art,,2007,,1969,,,2006
Olli Marttila,Kasvoja,,graphics,,2018,,1948,,,2014
Kristiina Uusitalo,Hetketön aika IV,,painting,,2007,,1959,,,2006
,Kuinka lennetään,,video art,,1983,,,,,
Marina Abramovic,Anima Mundi,,video art,,,,1946,,,1983
Axel Antas,Sarjasta ECHOES,,graphics,,2006,,1976,,,2005
Olli Marttila,Kun olin kuvitellut olleeni olemassa: Kasvot,,graphics,,2006,,1948,,,2003
Ari Kakkinen,,,,,2006,,1966,,,2004
Finn Sködt,Luonnos Alkupiste-hahmomallia varten,,graphics,,1991,,1944,,,1989
Paavo Paunu,Meidän isä,,painting,,1994,,1965,,,1994
Arno Rafael Minkkinen,Väisälänsaari,,,,2008,,1945,,,1998
Petri Hytönen,Herätys,,graphics,,1994,,1963,,,1993
Erik Snedsböl,Desert Scene #1,,,,2006,,1965,,,2003
Jenny Holzer,"Sign on a Truck, No 1",,video art,,1991,,1950,,,1984
Kalervo Palsa,nimetön (maisema),,graphics,,1999,,1947,1987,,
Kalervo Palsa,nimetön,,graphics,,1999,,1947,1987,,1972
Kalervo Palsa,Idolin täydellisyys,,graphics,,1999,,1947,1987,,1973
Aarne Jämsä,Aarne ja Arja,,graphics,,2004,,1956,,,1998
Kalervo Palsa,nimetön,,graphics,,1999,,1947,1987,,1968
Tiina Vainio,"Sarjasta ""Toscanan rikkaruohot""",,graphics,,2007,,1960,,,2007
Dara Birnbaum,Kootut teokset,,video art,,,,1946,,,1980
Pertti Kekarainen,Dokumentti - Kohtaus III,,photography,,1994,,1965,,,1993
Pertti Kekarainen,Dokumentti - Kohtaus II,,photography,,1994,,1965,,,1993
Tiina Vainio,"Sarjasta ""Toscanan rikkaruohot""",,graphics,,2007,,1960,,,2007
Tiina Vainio,"Sarjasta ""Toscanan rikkaruohot""",,graphics,,2007,,1960,,,2007
Gregorio Spini,,,,,1991,,,,,
Stig Baumgartner,Yksityinen kokoelma,,painting,,2007,,1969,,,2006
Georg Gudni,Maalaus,,painting,,1991,,1961,,,1990
Nina Roos,Kadonnut keltaiseen,,painting,,2007,,1956,,,2000
Outi Pienimäki,Vanha Atsteekki nauraa,,painting,,2004,,1959,,,2004
Nina Roos,Kadonnut keltaiseen,,painting,,2007,,1956,,,2000
Maija Närhinen,Ranta,,graphics,,2011,,1967,,,2008
Marianna Uutinen,Nimetön,,graphics,,2007,,1961,,,1999
Kalervo Palsa,Kamina,,graphics,,1999,,1947,1987,,1967
Vitantonio Russo,Economia alla specchio,,graphics,,1991,,1932,,,
Vitantonio Russo,Economia alla specchio,,graphics,,1991,,1932,,,
Keith Sonnier,Nimetön,,graphics,,1991,,1941,,,1981
Tuomas A. Laitinen,,,graphics,,2007,,1976,,,2007
Pekka Nevalainen,Metsämökin ikkuna,,sculpture,,1991,,1951,,,1991
Markku Kolehmainen,Raaka-Rollen tapaus,,painting,,,,1951,,,1983
Elina Brotherus,Sarjasta Suites francaises 2 (1999): La Main,,graphics,,2004,,1972,,,1999
Marianna Uutinen,(Vie minut kotiin),,graphics,,2007,,1961,,,2000
Tommi Toija,Ei,,graphics,,2007,,1974,,,2007
Tiina Vainio,"Sarjasta ""Toscanan rikkaruohot""",,graphics,,2007,,1960,,,2007
Riitta Päiväläinen,,,,,2004,,1969,,,2001
Kalervo Palsa,nimetön,,graphics,,1999,,1947,1987,,1969
Dimitri Bulnygin,Kevätfantasioita (Vastarinnan tukkumyyntiä ja vähittäiskauppaa),,,,2004,,1965,,,2003
Outi Laine,Seinäkirjoituksia I,,,,2011,,1970,,,2009
Johan Scott,Narkissos 15,,painting,,2007,,1953,,,2006
Thórdís Zoëga,Alkupistettä esittävä fotostaatti,,,,1991,,1955,,,1989
Kalervo Palsa,Harpyian tanssi,,graphics,,1999,,1947,1987,,1969
Stig Baumgartner,"Venytyksiä, kumarruksia, kurkotuksia",,graphics,,2007,,1969,,,2000
Henry Wuorila-Stenberg,Auringon lapset,,painting,,2008,,1949,,,2006
Thórdís Zoëga,Alkupistettä esittävä fotostaatti,,,,1991,,1955,,,1989
Tiina Vainio,"Sarjasta ""Toscanan rikkaruohot""",,graphics,,2007,,1960,,,2007
Juha van Ingen,AS Long As Possible (ASLAP),,object,,2016,,1963,,,2015
