Artist,Title,Medium,Year_acquisition
Pep Agut,Distancia Zero (Zero Distance),Sculpture,2012
Pep Agut,Hèrcules (Autoretrat en devaluació econòmica i plusvàlua cultural) (Hercules [Self-Portrait in Economic Devaluation and Cultural Capital Gain]),"Work on paper, Drawing",2008
Ana Laura Aláez,Superwoman,"Sculpture, Decorative arts, Textiles",2019
Ana Laura Aláez,Sade,Photography,2000
Ana Laura Aláez,Dance & Disco #1,Video,2000
Ana Laura Aláez,Dance & Disco #2,Video,2000
Ana Laura Aláez,Dance & Disco #3,Video,2000
Ana Laura Aláez,Creative Powders,Photography,2001
Ana Laura Aláez,La bestia (The Beast),Sculpture,2015
Ana Laura Aláez,Aullido (se mata lo que se ama) (Howl [Killing What Is Loved]),Sculpture,2015
Ana Laura Aláez,Miel-Nube-Hiel (Lady) (Honey-Cloud-Bile [Lady]),Photography,2015
Enrique Alarcón,El caso de la mujer asesinadita (The Case of the Slightly Murdered Woman),"Theatre, Work on paper, Drawing",2014
Alfonso Albacete,Tercera pérgola (Third Pergola),Painting,1988
Alfonso Albacete,Dos calles conducen al Sur (Two Streets Leading to the South),Painting,2002
Alfonso Albacete,Después de la tormenta (Mirando a poniente) (After the Storm [Watching the Setting Sun]),Painting,2001
Alfonso Albacete,Jacob 12,Painting,2001
Rafael Alberti,Sin título (La barca blanca) (Untitled [The White Boat]),"Work on paper, Drawing",2001
Rafael Alberti,Sin título (Poniente) (Untitled [West]),"Work on paper, Drawing",2001
Rafael Alberti,Sin título (Un sol de agrias notas) (Untitled [A Sun of Sour Notes]),"Work on paper, Drawing",2001
Rafael Alberti,Composición (Composition),"Work on paper, Drawing",2000
Rafael Alberti,Marinero en tierra (Sailor on Land),"Work on paper, Drawing",1999
Rafael Alberti,Joselito en su gloria (Joselito in his Glory),"Work on paper, Drawing",2002
Alberto (Alberto Sánchez),El ciego de la bandurria (Blind Man with Bandurria),Sculpture,2000
Alberto (Alberto Sánchez),Carretero vasco (Basque Labourer),Sculpture,2000
Alberto (Alberto Sánchez),Campesina (Peasant Woman),Sculpture,1989
Alberto (Alberto Sánchez),Café de Atocha (Café in Atocha),"Work on paper, Drawing",2000
Alberto (Alberto Sánchez),Alegoría del toro y el torero (Allegory for the Bull and the Bullfighter),"Work on paper, Drawing",1998
Alberto (Alberto Sánchez),Mascarilla de la mula (The Mule's Mask),"Work on paper, Drawing",1998
Alberto (Alberto Sánchez),La profanación de la fe (Profanation of the Faith),"Work on paper, Drawing",1998
Alberto (Alberto Sánchez),Bailarina (Dancer),Sculpture,1991
Alberto (Alberto Sánchez),Cabeza de Góngora (Góngora's Head),Sculpture,1991
Alberto (Alberto Sánchez),Bailarina (Dancer),Sculpture,1989
Alberto (Alberto Sánchez),Recuerdo de Melilla (Memory of Melilla),"Work on paper, Drawing",1998
Alberto (Alberto Sánchez),Maternidad (Maternity),Sculpture,1988
Alberto (Alberto Sánchez),Maternidad (Maternity),Sculpture,1988
Alberto (Alberto Sánchez),Monumento a los pájaros (fragmento) (Monument to the Birds [Fragment]),Sculpture,1991
Alberto (Alberto Sánchez),"Boceto para el decorado central de «Fuenteovejuna» (Sketch for Central Set of ""Fuenteovejuna"")","Work on paper, Drawing",2002
Alberto (Alberto Sánchez),"Boceto para el decorado lateral de «Fuenteovejuna» (Sketch for Lateral Set of ""Fuenteovejuna"")","Work on paper, Drawing",2002
Alberto (Alberto Sánchez),"Boceto para el decorado lateral de «Fuenteovejuna» (Sketch for Lateral Set of ""Fuenteovejuna"")","Work on paper, Drawing",2002
Alberto (Alberto Sánchez),"Macho-hembra. Boceto para el telón lateral derecho del ballet «La romería de los cornudos» (Male-Female. Sketch for the right side courtain of the ballet ""The Pilgrimage of Cuckolds"")","Work on paper, Drawing, Modern dance",2002
Alberto (Alberto Sánchez),La romería de los cornudos (The Pilgrimage of Cuckolds),"Modern dance, Painting",2001
Alberto (Alberto Sánchez),Benimámet,"Work on paper, Drawing",1988
Alberto (Alberto Sánchez),El pueblo español tiene un camino que conduce a una estrella (maqueta) (The Spanish People Have a Path that Leads to a Star [Maquette]),Sculpture,2008
Alberto (Alberto Sánchez),El pueblo español tiene un camino que conduce a una estrella (maqueta) (The Spanish People Have a Path that Leads to a Star [Maquette]),Sculpture,1991
Alberto (Alberto Sánchez),El Quijote: pueblo de La Mancha (El Quijote: Town in La Mancha),"Work on paper, Drawing",1988
Alberto (Alberto Sánchez),Escultura rural toledana (Sculpture for Rural Area of Toledo),"Work on paper, Drawing",2000
Alberto (Alberto Sánchez),Minerva de los Andes (Minerva of the Andes),Sculpture,1988
Alberto (Alberto Sánchez),Árboles que parecéis (Trees That You Are Like),"Work on paper, Drawing",1991
Alberto (Alberto Sánchez),"Boceto para «La fuente del festival» (Sketch for ""The Festival Fountain"")","Work on paper, Drawing",2000
Alberto (Alberto Sánchez),Perdiz del Cáucaso (Partridge from the Caucasus),Sculpture,1988
Alberto (Alberto Sánchez),Poste de señales del río Belaya (Signal Post at Belaya River),Sculpture,1991
Alberto (Alberto Sánchez),Apunte de escultura para un puerto (Note on a Sculpture for a Port),"Work on paper, Drawing",2000
Alberto (Alberto Sánchez),La dama del pan de Riga (The Lady of the Bread in Riga),"Work on paper, Drawing",2006
Alberto (Alberto Sánchez),La dama del pan de Riga (The Lady of Bread in Riga),Sculpture,2006
Alberto (Alberto Sánchez),Toro (Bull),Sculpture,1988
Alberto (Alberto Sánchez),Torero (Bullfighter),Sculpture,1988
Alberto (Alberto Sánchez),Reclamo de alondras (Skylark Lure),Sculpture,1991
Alberto (Alberto Sánchez),Máscara (Mask),Sculpture,2005
Alberto (Alberto Sánchez),Casa del pájaro ruso (The Russian Bird's House),Sculpture,1988
Alberto (Alberto Sánchez),El gallo y la gallina (The Rooster and the Hen),Sculpture,1988
José Antonio Alcácer Garmendia,Represión (Repression),Graphic art,2010
José Antonio Alcácer Garmendia,El cartel del crimen (Crime Cartel),Graphic art,2010
Carlos Alcolea,Schreber también escribe (Schreber Also Writes),Painting,2002
Carlos Alcolea,"Matisse de día, Matisse de noche (Matisse by Day, Matisse by Night)",Painting,1988
Carlos Alcolea,Finisterre (Fisterra),Painting,2013
Eduardo Alcoy Lázaro,Pintura 59-70 (Painting 59-70),Painting,1988
Pierre Alechinsky,Les hautes herbes (The High Grass),Painting,1997
José Luis Alexanco,Doble postura para hombre que corre (Double Position for a Man Running),Painting,2008
José Luis Alexanco,Programa MOUVNT (Computer Program MOUVNT),"Digital art, Computer art",2008
José Luis Alexanco,Soledad interrumpida (Interrupted Solitude),"Work on paper, Collage",2008
José Luis Alexanco,Buenos Aires,"Work on paper, Collage",2008
José Luis Alexanco,Palacio de Cristal II (Crystal Palace II),"Work on paper, Collage",2008
José Luis Alexanco,Palacio de Cristal I (Crystal Palace I),"Work on paper, Collage",2008
José Luis Alexanco,Soledad interrumpida (Interrupted Solitude),"Installation, Performance",2009
José Luis Alexanco,138 (Historia natural) (138 [Natural History]),Film,2008
José Luis Alexanco,Sablonceaux II,"Work on paper, Collage",2008
José Luis Alexanco,Historia Natural III (Natural History III),"Work on paper, Collage",2008
José Luis Alexanco,Historia Natural II (Natural History II),"Work on paper, Collage",2008
José Luis Alexanco,Historia Natural IV (Natural History IV),"Work on paper, Collage",2008
José Luis Alexanco,Historia Natural I (Natural History I),"Work on paper, Collage",2008
José Luis Alexanco,Historia Natural V (Natural History V),"Work on paper, Collage",2008
José Luis Alexanco,Paris ARC I,"Work on paper, Collage",2008
José Luis Alexanco,Paris ARC II,"Work on paper, Collage",2008
José Luis Alexanco,Escultura MOUVNT (MOUVNT Sculpture),Sculpture,2009
José Luis Alexanco,Escultura MOUVNT (MOUVNT Sculpture),Sculpture,2009
José Luis Alexanco,Escultura MOUVNT (MOUVNT Sculpture),Sculpture,2009
José Luis Alexanco,Escultura MOUVNT (MOUVNT Sculpture),Sculpture,2009
José Luis Alexanco,Sablonceaux IV,"Work on paper, Collage",2008
José Luis Alexanco,Sablonceaux III,"Work on paper, Collage",2008
José Luis Alexanco,Munich,"Work on paper, Collage",2008
José Luis Alexanco,Sablonceaux I,"Work on paper, Collage",2008
José Luis Alexanco,Sablonceaux V,"Work on paper, Collage",2008
José Luis Alexanco,Sablonceaux VII,"Work on paper, Collage",2008
José Luis Alexanco,Sablonceaux VIII,"Work on paper, Collage",2008
José Luis Alexanco,Sablonceaux II,"Work on paper, Collage",2008
José Luis Alexanco,Escultura MOUVNT (MOUVNT Sculpture),Sculpture,2009
José Luis Alexanco,Escultura MOUVNT (MOUVNT Sculpture),Sculpture,2009
José Luis Alexanco,Escultura MOUVNT (MOUVNT Sculpture),Sculpture,2009
