,Artist,Title,Year_acquisition,Date_creation_year,Artist_birth_year,Artist_death_year
12733,Carl Eneas Sjöstrand,Amor,,,1828,1906
12734,Anders Ekman,"Tien vieressä istuva talonpoikaisnainen, jolla on rintalapsi ja pieni poika. Taustalla kirkko.",1913,1853,1833,1855
12735,Tuulikki Pietilä,Pariisin kattoja,,1979,1917,2009
12736,Carl Eneas Sjöstrand,Kylvettäjä Johanna,,1888,1828,1906
12737,Tuulikki Pietilä,Klovharu (Saaristo 56),,1978,1917,2009
12738,Berndt Abraham Godenhjelm,Kristus ristillä Neitsyt Maria ja Johannes jalkojensa juuressa. Luonnos alttaritauluun.,1913,,1799,1881
12739,Tuulikki Pietilä,Sirkus - Akrobaatit ja jonglööri,,1981,1917,2009
12741,Alfred William Finch,Istuvia henkilöitä,,,1854,1930
12742,Tapani Raittila,"Croquis, seisova mies",,1991,1921,2018
12743,Eero Järnefelt,Metsäinen saari,,,1863,1937
12744,Eero Järnefelt,Kalastajavene,,1931,1863,1937
12745,Pentti Kaskipuro,Kamiina,,1963,1930,2010
12746,Helene Schjerfbeck,"Selällään makaavan jalat, Mariano Fortunyn mukaan",,1877,1862,1946
12747,Pentti Kaskipuro,Puolikas,,1965,1930,2010
12748,Inari Krohn,Korento,,2007,1945,
12749,Tapani Raittila,"Croquis, seisova mies",,1990,1921,2018
12750,Inari Krohn,Ikkuna,,2005,1945,
12751,Reino Hietanen,Alaston,,1955,1932,
12752,Berndt Abraham Godenhjelm,"Roomalainen sotilas, joka vetäytyy pelästyneenä taaksepäin sekä hänen yläpuolellaan liitelevä enkeli. Harjoitelma alttaritaulua varten.",1913,,1799,1881
12753,Berndt Abraham Godenhjelm,"Kuusi kuvitusluonnosta, joista viisi eläinaiheista, yhdessä sairasvuode ja kuolema astumassa puoliavoimesta ovesta sisään",1913,,1799,1881
12754,Carl Eneas Sjöstrand,Vanha nainen avojaloin,,1857,1828,1906
12756,Carl Eneas Sjöstrand,Carl Axel Levinin lapset Oskar ja Bertha,,1857,1828,1906
12757,Albert Edelfelt,"Luonnos kenraaliadjutantti, kreivi Adolf Aminoffin muotokuvaan",1935,1875,1854,1905
12758,Tuulikki Pietilä,Varjo syvyydestä (sarjasta Atlantis),,1969,1917,2009
12759,Alfred William Finch,Asetelma,,,1854,1930
12760,Berndt Abraham Godenhjelm,"Luonnos alttaritauluun ""Ehtoollinen""",1913,,1799,1881
12761,Tuulikki Pietilä,Salmi (Saaristo 57),,1978,1917,2009
12762,Tuulikki Pietilä,Jännitys,,1970,1917,2009
12763,Carl Eneas Sjöstrand,Erik Andersson,,1898,1828,1906
12764,Pentti Kaskipuro,"Omakuva, luonnos",,2002,1930,2010
12765,Anitra Lucander,nimetön,,,1918,2000
12766,Albert Edelfelt,Mrs John Gallatly,,1897,1854,1905
12767,Albert Edelfelt,"Istuva nuori nainen, henkilötutkielma maalaukseen Koivujen alla",1935,1882,1854,1905
12769,Albert Edelfelt,Lieden ääressä,1935,1884,1854,1905
12770,Albert Edelfelt,Sommitteluharjoitelmia teokseen Koivujen alla,1935,1882,1854,1905
12771,Pentti Kaskipuro,nimetön,,,1930,2010
12772,Santeri Salokivi,Taiteilijaystävä Eero Nelimarkka,,1912,1886,1940
12773,Tapani Raittila,Kummipoika (Eero von Boehm),,1959,1921,2018
12774,Akseli Gallen-Kallela,"Pirtin nurkka, 7. luvun otsakuva",,1907,1865,1931
12775,Tapani Raittila,"Croquis, seisova malli",,1996,1921,2018
12777,Tapani Raittila,"Croquis, istuva nainen",,1982,1921,2018
12782,Tapani Raittila,"Croquis, seisova mies",,1994,1921,2018
12784,Tapani Raittila,"Croquis, mies",,1990,1921,2018
12785,Veikko Lehtovaara,Ravintola Kappeli,2017,1983,1941,
12786,Karl Emanuel Jansson,"Kolme lasta keräämässä risuja metsässä, F. Grenierin mukaan",1906,1862,1846,1874
12787,Tyko Sallinen,"Taju, taiteilijan tytär",,1919,1879,1955
12788,Lennart Segerstråle,Nukkuva,,,1892,1975
12789,Albert Edelfelt,Nuori sotilas hevosineen,1935,1871,1854,1905
12790,Jalmari Ruokokoski,Alma Rydengin mutokuva (myöhemmin Lönnberg),,1913,1886,1936
12791,Carl Eneas Sjöstrand,Kullervo,,1859,1828,1906
12792,Albert Edelfelt,Interiööri taiteilijan kotoa,1935,,1854,1905
